GW7E69;007 - Agent Under Fire
GTEE01;1080 Avalanche
GWEE51;18 Wheeler - American Pro Trucker
GFIE69;2002 FIFA World Cup
G6FE69;2006 FIFA World Cup
GE4E7D;4x4 Evo 2
GATE51;ATV Quad Power Racing 2
GILE51;Aggressive Inline
GAHEGG;Alien Hominid
GA2E51;All-Star Baseball 2002
GA3E51;All-Star Baseball 2003
GA4E51;All-Star Baseball 2004
GKAE8P;Amazing Island
GAPE52;American Chopper 2 - Full Throttle
GAFE01;Animal Crossing
GANE7U;Animaniacs: The Great Edgar Hunt
GAQE6S;Aquaman: Battle of Atlantis
GAME5H;Army Men Sarges War
GACE5H;Army Men: Air Combat The Elite Missions
GARE5H;Army Men: RTS
GAUE08;Auto Modellista
GAVE78;Avatar The Last Airbender
GB3E51;BMX XXX
GBKE70;Backyard Baseball
GBFE70;Backyard Football
GA7E70;Backyard Sports Baseball 2007
GOBE4Z;Bad Boys: Miami Takedown
GDEE71;Baldur's Gate: Dark Alliance
GYAE78;Barnyard
GKBEAF;Baten Kaitos Eternal Wings
GK4E01;Baten Kaitos Origins
GINE69;Batman Begins
GBME7F;Batman Dark Tomorrow
GUZE41;Batman Rise of Sin Tzu
GBVE41;Batman Vengeance
G8WE01;Battalion Wars
GBSE8P;Beach Spikers: Virtua Beach Volleyball
GBTE70;Beyblade VForce - Super Tournament Battle
GGEE41;Beyond Good and Evil
GMRE70;Big Air Freestyle
GT8E78;Big Mutha Truckers
GEZE8P;Billy Hatcher and the Giant Egg
GVOE69;Bionicle
GVHE4F;Bionicle Heroes
G2BE5G;Black & Bruised
GBDE5G;BloodRayne
GBLE52;Bloody Roar: Primal Fury
GWOE5G;Blowout
GBGE5G;Bomberman Generation
GJBE5G;Bomberman Jetters
GVDE78;Bratz Forever Diamondz
GR6E78;Bratz: Rock Angelz
GCQE7D;Buffy The Vampire Slayer Chaos Bleeds
GBOE51;Burnout
GB4E51;Burnout 2: Point of Impact
G3SE41;Bust-A-Move 3000
GG5E52;Cabela's Big Game Hunter 2005
GVKE52;Cabela's Dangerous Hunts 2
GOAE52;Cabela's Outdoor Adventures
