T-113076;3 Ninjas Kick Back (USA)
1717;6-Pak (USA)
1234;ATP Tour Championship Tennis (USA)
T-139066;Aaahh!!! Real Monsters (USA)
1535;Adventures of Batman & Robin, The (USA)
T-15056;Aero the Acro-Bat (USA)
T-15166;Aero the Acro-Bat 2 (USA)
T-76046;Aerobiz (USA)
T-76136;Aerobiz Supersonic (USA)
T-33026;Air Buster (USA)
T-35026;Air Diver (USA)
1005;Alex Kidd in the Enchanted Castle (USA)
1121;Alien Storm (World)
1039;Alisia Dragoon (USA)
T-83056;American Gladiators (USA)
T-101016;Andre Agassi Tennis (USA)
T-95176;Animaniacs (USA)
T-49096;Arcus Odyssey (USA)
1703;Art Alive (World)
1146;Art of Fighting (USA)
1532;Asterix and the Great Rescue (USA)
T-24016;Atomic Robo-Kid (USA)
T-13036;Atomic Runner (USA)
T-48226;Awesome Possum Kicks Dr. Machino's Butt (USA)
1135;Ayrton Senna's Super Monaco GP II (USA) (En,Ja)
T-69046;Back to the Future Part III (USA)
T-112026;Barbie Super Model (USA)
3420;Barkley Shut Up and Jam 2 (USA)
1534;Barney's Hide & Seek Game (USA)
T-100116;Bass Masters Classic (USA)
T-15046;Batman - Revenge of the Joker (USA)
15016;Batman - The Video Game (USA)
T-81336;Batman Forever (World)
1045;Batman Returns (World)
T-22066;BattleTech - A Game of Armored Combat (USA)
T-97026;Battletoads (World)
T-97066;Battletoads-Double Dragon (USA)
T-49116;Beast Wrestler (USA)
T-15106;Beauty and the Beast - Belle's Quest (USA)
T-15116;Beauty and the Beast - Roar of the Beast (USA)
T-139016;Beavis and Butt-Head (USA)
1548;Berenstain Bears' Camping Adventure, The (USA)
1354;Beyond Oasis (USA)
7348;Bill Walsh College Football 95 (USA)
T-55016;Bimini Run (USA)
T-15076;Blaster Master 2 (USA)
7055;Blockout (World)
1124;Bonanza Bros. (World)
T-125066;Boogerman - A Pick and Flick Adventure (USA)
T-107026;Boxing Legends of the Ring (USA)
T-93016;Bram Stoker's Dracula (USA)
3409;Brett Hull Hockey '95 (USA)
T-83136;Brutal - Paws of Fury (USA)
T-115026;Bubba 'N' Stix (USA)
T-15096;Bubble and Squeak (USA)
7018;Budokan - The Martial Spirit (USA)
1840;Bugs Bunny in Double Trouble (USA)
T-14026;Burning Force (USA)
T-70146;Caesars Palace (USA)
T-87046;Cal Ripken Jr. Baseball (USA)
T-13056;Captain America and the Avengers (USA)
T-95076;Castlevania - Bloodlines (USA)
T-81296;Champions World Class Soccer (World)
T-97046;Championship Pro-Am (USA)
T-11106;Chase H.Q. II (USA)
T-137036;Chavez II (USA)
T-33056;Chester Cheetah - Too Cool to Fool (USA)
T-33066;Chester Cheetah - Wild Wild Quest (USA)
70036;Chuck Rock (USA)
T-70156;Chuck Rock II - Son of Chuck (USA)
T-125036;Clay Fighter (USA)
T-93036;Cliffhanger (USA)
T-89016;Clue (USA)
7521;Coach K College Basketball (USA)
7491;College Football USA 96 (USA)
