NES-TY-USA ;10-Yard Fight
NES-NF-USA;1942 (JU)
NES-43-USA;1943 - The Battle of Midway
NES-WO-USA;3-D Battles of World Runner, The
NES-72-USA;720
NES-8E-USA;8 Eyes
NES-A3-USA;Abadox - The Deadly Inner War
NES-6Z-USA;Addams Family, The
NES-FM-USA;Addams Family, The - Pugsley's Scavenger Hunt
NES-LQ-USA;Advanced Dungeons & Dragons - Heroes of the Lance
NES-DS-USA;Advanced Dungeons & Dragons - Dragon Strike
NES-QQ-USA;Advanced Dungeons & Dragons - Hillsfar
NES-QA-USA;Advanced Dungeons & Dragons - Pool of Radiance
NES-VD-USA;Adventures in the Magic Kingdom
NES-MU-USA;Adventures of Bayou Billy, The
NES-SG-USA;Adventures of Dino Riki, The
NES-2L-USA;Adventures of Gilligan's Island, The
NES-AV-USA;Adventures of Lolo
NES-A4-USA;Adventures of Lolo 2
NES-QL-USA;Adventures of Lolo 3
NES-2A-USA;Adventures of Rad Gravity, The
NES-RF-USA;Adventures of Rocky and Bullwinkle and Friends, The
NES-YB-USA;Adventures of Tom Sawyer
NES-AI-USA;Air Fortress
NES-AF-USA;Airwolf
NES-FH-USA;Al Unser Jr. Turbo Racing
NES-AC-USA;Alfred Chicken
NES-X3-USA;Alien 3
NES-A2-USA;All-Pro Basketball
NES-AM-USA;Alpha Mission
NES-M5-USA;Amagon
NES-3A-USA;American Gladiators
NES-AP-USA;Anticipation
NES-Q4-USA;Arch Rivals - A Basketbrawl!
NES-ON-USA;Archon
NES-AR-USA;Arkanoid
NES-A5-USA;Arkista's Ring
NES-YX-USA;Astyanax
NES-AN-USA;Athena
NES-AW-USA;Athletic World
NES-47-USA;Attack of the Killer Tomatoes
NES-FU-USA;Back to the Future
NES-L3-USA;Back to the Future Part II & III
NES-DU-USA;Bad Dudes
NES-3B-USA;Bad News Baseball
NES-BV-USA;Bad Street Brawler
NES-BF-CAN;Balloon Fight
NES-PG-USA;Bandai Golf - Challenge Pebble Beach
NES-XJ-USA;Bandit Kings of Ancient China
NES-8V-USA;Barbie
NES-ET-USA;Bard's Tale, The - Tales of the Unknown
NES-ZT-USA;Barker Bill's Trick Shooting
NES-5B-USA;Base Wars
NES-BA-CAN;Baseball
NES-UB-USA;Baseball Simulator 1.000
NES-B9-USA;Baseball Stars
NES-9R-USA;Baseball Stars II
NES-LD-USA;Bases Loaded
NES-3L-USA;Bases Loaded 3
NES-BD-USA;Bases Loaded 4
NES-P48-USA;Batman - Return of the Joker
NES-B4-USA;Batman
NES-BX-USA;Batman Returns
NES-C6-USA;Battle Chess
NES-AD-USA;Battle of Olympus, The
NES-9B-USA;Battle Tank
NES-BH-USA;Battleship
NES-U8-USA;Battletoads & Double Dragon - The Ultimate Team
NES-8T-USA;Battletoads
NES-4B-USA;Beetlejuice
NES-BB-USA;Best of the Best - Championship Karate
NES-4H-USA;Big Bird's Hide & Speak
NES-A8-USA;Bigfoot
NES-42-USA;Bill & Ted's Excellent Video Game Adventure
NES-EV-USA;Bill Elliott's NASCAR Challenge
NES-CM-USA;Bionic Commando
NES-B0-USA;Black Bass USA, The
NES-VS-USA;Blades of Steel
NES-VM-USA;Blaster Master
NES-8N-USA;Blue Marlin, The
NES-4Z-USA;Blues Brothers, The
NES-6J-USA;Bo Jackson Baseball
NES-BM-USA;Bomberman
NES-BW-USA;Bomberman II
NES-K8-USA;Bonk's Adventure
NES-XB-USA;Boulder Dash
NES-B5-USA;Boy and His Blob, A - Trouble on Blobolonia
NES-DR-USA;Bram Stoker's Dracula
NES-BZ-USA ;Break Time - The National Pool Tour
NES-BE-USA;BreakThru
NES-B2-USA;Bubble Bobble
NES-BQ-USA;Bubble Bobble Part 2
NES-56-USA;Bucky O'Hare
NES-H8-USA;Bugs Bunny Birthday Blowout, The
NES-C1-USA;Bugs Bunny Crazy Castle, The
NES-BP-USA;Bump'n'Jump
NES-UF-USA;Burai Fighter
NES-BR-USA;BurgerTime
NES-C7-USA;Cabal
NES-C9-USA;Caesars Palace
NES-CG-USA;California Games
NES-6E-USA;Captain America and The Avengers
NES-5C-USA;Captain Planet and The Planeteers
NES-YW-USA;Captain Skyhawk
NES-KP-USA;Casino Kid
NES-CK-USA;Casino Kid 2
NES-4C-USA;Castelian
NES-C4-USA;Castle of Dragon
NES-05-USA;Castlequest
NES-CV-USA;Castlevania
NES-QU-USA;Castlevania II - Simon's Quest
NES-VN-USA;Castlevania III - Dracula's Curse
NES-UQ-USA;Caveman Games
NES-1F-USA;Championship Bowling
NES-P3-USA;Championship Pool
NES-EM-USA;Chessmaster, The
NES-RU-USA;Chip 'n Dale Rescue Rangers
NES-DV-USA;Chip 'n Dale Rescue Rangers 2
NES-CB-USA;Chubby Cherub
NES-M7-USA;Circus Caper
NES-CI-USA;City Connection
NES-B6-USA;Clash at Demonhead
NES-C8-USA;Classic Concentration
NES-HG-USA;Cliffhanger
NES-CN-USA;Cobra Command
NES-CU-USA;Cobra Triangle
NES-VP-USA;Code Name - Viper
NES-CD-USA;Color A Dinosaur
NES-CO-USA;Commando
NES-YY-USA;Conan - The Mysteries of Time
NES-C3-USA;Conflict
NES-7M-USA;Conquest of the Crystal Palace
NES-CT-USA;Contra
NES-CR-USA;Contra Force
