SLUS-20210;18 Wheeler - American Pro Trucker
SLUS-21116;187 - Ride or Die
SLUS-21268;24 - The Game
SLUS-21016;25 to Life
SLUS-20091;4x4 Evolution
SLUS-21315;50cent - Bulletproof
SLUS-21693;7 Wonders of the Ancient World
SCUS-97373;989 Sports 2004 Demo Disc
SLUS-21347;AMF Xtreme Bowling
SCUS-97104;ATV Off-Road Fury
SCUS-97211;ATV Off-Road Fury 2
SCUS-97369;ATV Off-Road Fury 2 [PlayStation 2 Combo Pack]
SCUS-97510;ATV Off-Road Fury 2 [Greatest Hits]
SCUS-97405;ATV Off-Road Fury 3
SCUS-97514;ATV Off-Road Fury 3 [Greatest Hits]
SCUS-97479;ATV Off-Road Fury 4
SLUS-20570;ATV Quad Power Racing 2
SLUS-20152;Ace Combat 4 - Shattered Skies
SLUS-20851;Ace Combat 5 - The Unsung War
SLUS-21346;Ace Combat Zero - The Belkan War
SLUS-20588;Activision Anthology
SLUS-20170;Adventures of Cookie & Cream, The
SLUS-21592;Adventures of Darwin, The
SLUS-20887;Adventures of Jimmy Neutron, The - Attack of the Twonkies
SLUS-21205;Aeon Flux
SLUS-20614;Aero Elite - Combat Academy
SLUS-20446;Agassi - Tennis Generation
SLUS-20327;Aggressive Inline
SLUS-20703;Air Force - Delta Strike
SLUS-20346;AirBlade
SLUS-21125;Airboure Troops - Countdown to D-Day
SLUS-21321;Alfa Romeo Racing Italiano 
SLUS-20673;Alias
SLUS-21090;Alien Homind
SLUS-20147;Aliens vs. Predator - Extinction
SLUS-20008;All-Star Baseball 2002
SLUS-20311;All-Star Baseball 2003
SLUS-20569;All-Star Baseball 2004
SLUS-20838;All-Star Baseball 2005
SLUS-21690;Alone in the Dark
SLUS-20465;Alter Echo
SLUS-21706;Alvin and The Chipmunks
SLUS-21188;America's Army - Rise of a Soldier
SLUS-21069;American Chopper
SLUS-21288;American Chopper 2
SLUS-20816;American Idol
SCUS-97258;Amplitude
SLUS-21237;And 1 Streetball
SLUS-21415;Ant Bully, The
SLUS-20392;Antz Extreme Racing
SLUS-21096;Ape Escape - Pumped & Primed
SLUS-20685;Ape Escape 2
SCUS-97501;Ape Escape 3
SLUS-20162;Aqua Aqua
SLUS-21633;Aqua Teen Hunger Force - Zombie Ninja Pro-Am
SLUS-21445;Ar Tonelico
SLUS-21788;Ar Tonelico 2 - Melody of Metafalica
SLUS-21165;Arc the Lad - End of Darkness
SCUS-97231;Arc the Lad - Twighlight of the Spirits
SLUS-21720;Arcana Heart
SLUS-20217;Arctic Thunder
SLUS-21755;Are You Smarter Than a 5th Grader - Make the Grade
SLUS-20595;Area 51
SLUS-21337;Arena Football - EA Sports
SLUS-21568;Arena Football - Road to Glory
SLUS-21338;Armored Core - Last Raven
SLUS-21200;Armored Core - Nine Breaker
SLUS-20644;Armored Core - Silent Line
SLUS-20014;Armored Core 2
SLUS-20249;Armored Core 2 - Another Age
SLUS-20435;Armored Core 3
SLUS-20986;Armored Core Nexus [Evolution Disc]
SLUS-21079;Armored Core Nexus [Revolution Disc]
SLUS-20004;Army Men - Air Attack 2
SLUS-20087;Army Men - Green Rogue
SLUS-20206;Army Men - RTS
SLUS-20132;Army Men - Sarge's Heroes 2
SLUS-21831;Army Men - Soldiers of Misfortune
SLUS-21487;Art of Fighting Anthology
SLUS-21305;Arthur and the Invisibles
SLUS-20866;Asterix & Obelix XXL - Kick Buttix
SLUS-20867;Astro Boy
SLUS-21895;Astro Boy - The Video Game
SLUS-21076;Atari Anthology
SLUS-21113;Atelier Iris - Eternal Mana
SLUS-21327;Atelier Iris 2 - The Azoth of Destiny
SLUS-21564;Atelier Iris 3 - Grand Phantasm
SCUS-97379;Athens 2004
SLUS-20642;Auto Modellista
SLUS-21395;Avatar - The Last Airbender
SLUS-21804;Avatar - The Last Airbender - Into the Inferno
SLUS-21588;Avatar - The Last Airbender - The Burning Earth
SLUS-21761;B-Boy
SLUS-21860;BIGS 2, The
SLUS-21623;BIGS, The
SLUS-20415;BMX XXX
SLUS-20865;Backyard Baseball
SLUS-21403;Backyard Baseball '07
SLUS-21884;Backyard Baseball 2010
SLUS-20704;Backyard Basketball
SLUS-21485;Backyard Basketball '07
SLUS-20876;Backyard Football 2006
SLUS-21670;Backyard Football 2008
SLUS-21751;Backyard Baseball '09
SLUS-21809;Backyard Football 2009
SLUS-20638;Backyard Wrestling - Don't Try This At Home
SLUS-21043;Backyard Wrestling 2 - There Goes the Neighborhood
SLUS-20982;Bad Boys 2
SLUS-21902;Bakugan Battle Brawlers
SLUS-20035;Baldur's Gate - Dark Alliance
SLUS-20675;Baldur's Gate - Dark Alliance 2
SLUS-20136;Barbarian
SLUS-21806;Barbie Horse Adventures - Riding Camp
SLUS-20664;Barbie Horse Adventures - Wild Horse Rescue
SLUS-21684;Barbie as The Island Princess
SLUS-21579;Barbie in The 12 Dancing Princesses
SLUS-20803;Bard's Tale, The
SLUS-21277;Barnyard
SLUS-21714;Baroque
SLUS-20339;Bass Fishing Duel - Sega Sports
SLUS-20325;Bass Strike
SLUS-20709;Batman - Rise of Sin-Tzu
SLUS-20226;Batman - Vengeance
SLUS-21198;Batman Begins
SLUS-20495;Battle Engine Aquila
SLUS-21026;Battlefield 2 - Mordern Combat
SLUS-20421;Battlestar Galactica
SLUS-21150;Beatdown - Fists of Vengeance
SLUS-21239;Beatmania
SLUS-21622;Bee Movie Game
SLUS-21815;Ben 10 - Alien Force
SLUS-21921;Ben 10 - Alien Force - Vilgax Attacks
SLUS-21661;Ben 10 - Protector of Earth
SLUS-20763;Beyond Good and Evil
SLUS-21711;Biathlon 2008
SLUS-21175;Bible Game, The
SLUS-20605;Big Mutha Truckers
SLUS-21086;Big Mutha Truckers 2
SLUS-21578;Biker Mice from Mars
SLUS-20818;Bionicle
SLUS-21428;Bionicle Heroes
SLUS-21376;Black
SLUS-20506;Black & Bruised
SLUS-20360;Blade 2
SLUS-21128;Blitz - The League
SLUS-20782;Blood Will Tell
SLUS-20461;BloodRayne
SLUS-20862;Bloodrayne 2
SLUS-20212;Bloody Roar 3
SLUS-20795;Bloody Roar 4
SLUS-20850;Blowout
SLUS-21381;Bode Miller Alpine Skiing
SLUS-20764;Bombastic
SLUS-21681;Boogie
SLUS-20069;Bouncer
SLUS-20606;Bounty Hunter - Seek & Destroy
SLUS-21470;Bratz - Forever Diamonds
SLUS-21791;Bratz - Girlz Really Rock
SLUS-21225;Bratz - Rock Angels
SLUS-21643;Bratz - The Movie
SLUS-21127;Brave - The Search for Spirit Dancer
SLUS-20499;Breath of Fire - Dragon Quarter
SLUS-21195;Breeders' Cup - World Thoroughbred Championships
SLUS-20402;Britney's Dance Beat
SLUS-21310;Brothers in Arms - Earned in Blood
SLUS-21163;Brothers in Arms - Road to Hill 30
SLUS-21566;Brunswick Pro Bowling
SLUS-20566;Buffy the Vampire Slayer - Chaos Bleeds
SLUS-20895;Bujingai - The Forsaken City
SLUS-21269;Bully
SLUS-20307;Burnout
SLUS-21596;Burnout - Dominator
SLUS-20497;Burnout 2 - Point of Impact
SLUS-21050;Burnout 3 - Takedown
SLUS-21242;Burnout Revenge
SLUS-20527;Butt Ugly Martians - Zoom or Doom!
SCUS-97602;Buzz! Jr. Jungle Party [Game Only]
SCUS-97597;Buzz! Jr. RoboJam [Bundle]
SCUS-97634;Buzz! Jr. RoboJam [Game Only]
SCUS-97596;Buzz! Junior Jungle Party
SCUS-97594;Buzz! The Hollywood Quiz [Bundle]
SCUS-97633;Buzz! The Hollywood Quiz [Game Only]
SCUS-97592;Buzz! The Mega Quiz
SCUS-97601;Buzz! The Mega Quiz [Game Only]
SLUS-20141;CART Fury - Championship Racing
SLUS-21754;CID the Dummy
SLUS-21655;CSI 3 - Dimensions of Murder
SLUS-21379;Cabela's African Safari
SLUS-21384;Cabela's Alaskan Adventures
SLUS-20534;Cabela's Big Game Hunter
SLUS-21011;Cabela's Big Game Hunter - 2005 Adventures
SLUS-21625;Cabela's Big Game Hunter III
SLUS-20736;Cabela's Dangerous Hunts
SLUS-21350;Cabela's Dangerous Hunts 2
SLUS-20665;Cabela's Deer Hunt - 2004 Season
SLUS-21021;Cabela's Deer Hunt - 2005 Season
SLUS-21789;Cabela's Legendary Adventures
SLUS-21715;Cabela's Moster Bass
SLUS-21192;Cabela's Outdoor Adventures 2006
SLUS-21624;Cabela's Trophy Bucks
SLUS-20725;Call of Duty - Finest Hour
SLUS-21746;Call of Duty - World at War - Final Fronts
SLUS-21228;Call of Duty 2 - Big Red One
SLUS-21318;Call of Duty 2 - Big Red One [Collector's Edition]
SLUS-21426;Call of Duty 3
SLUS-21473;Capcom Classics Collection Vol. 2
SLUS-21316;Capcom Classics Collection Vol.1
SLUS-20950;Capcom Fighting Evolution
SLUS-20246;Capcom vs. SNK 2 - Mark of the Millennium 2001
SLUS-20849;Carmen Sandiego - The Secret of The Stolen Drums
SLUS-21438;Cartoon Network Racing
SLUS-20205;Casper Spirit Dimensions
SLUS-20962;Castle of Shikigami 2
SLUS-21168;Castlevania - Curse of Dakness
SLUS-20733;Castlevania - Lament of Innocence
SLUS-20992;Catwoman
SLUS-20973;Champions - Return to Arms
SLUS-20565;Champions of Norrath
SLUS-20695;Chaos Legion
SLUS-21722;Chaos Wars
SLUS-21246;Charlie and the Chocolate Factory
SLUS-20637;Chessmaster
SLUS-20930;Choro Q
SLUS-21756;Chronicles of Narnia, The - Prince Caspian
SLUS-21082;Chronicles of Narnia, The - The Lion, The Witch and The Wardrobe
SLUS-20742;Chulip
SLUS-20274;City Crisis
SLUS-20633;Clock Tower 3
SLUS-21663;Cocoto - Fishing Master
SLUS-21743;Code Lyoko - Quest for Infinity
SLUS-21155;Codename - Kids Next Door - Operation V.I.D.E.O.G.A.M.E.
SLUS-21047;Cold Fear
SLUS-20845;Cold Winter
SLUS-20502;Colin McRae Rally 3
SLUS-21232;College Hoops 2K6
SLUS-21673;College Hoops 2K8
SLUS-21179;Colloseum - Road to Freedom
SLUS-20086;Commandos 2 - Men of Courage
SLUS-21103;Commandos Strike Force
SLUS-20549;Conflict - Desert Storm
SLUS-20689;Conflict - Desert Storm 2 - Back to Baghdad
SLUS-21172;Conflict - Global Terror
