SLES-53150;10 Pin - Champions' Alley
SLES-50214;18 Wheeler
SLES-51214;18 Wheeler - American Pro Trucker
SLES-52276;187 - Ride or Die
SLES-51741;1945 I & II - The Arcade Games
SCES-53358;24 - The Game
SLES-53199;25 to Life
SLES-50194;4x4 Evolution
SLES-51199;4x4 Evolution II
SLES-53734;50cent - Bulletproof
SLES-50109;7 Blades
SLES-53280;7 Sins
SLES-55532 ;Aliens in the Attic
SLES-51716;A-Train 6
SLES-51080;AC Milan Club Football
SLES-52656;AC Milan Club Football 2005
SLES-51168;AFL Live 2004 - Aussie Rules Football
SCES-53449;AFL Premiership 2005
SCES-50293;ATV Off-Road
SLES-50850;ATV Off-Road 2
SLES-51814;ATV Off-Road Fury 2
SLES-53754;ATV Off-Road Fury 3
SCES-50410;Ace Combat - Distant Thunder
SCES-52424;Ace Combat - Squadron Leader
SCES-54041;Ace Combat - The Belkan War
SLES-51503;Ace Lightning
SLES-52532;Aces of War
SLES-52956;Action Girlz Racing
SLES-50009;Action Replay MAX
SLES-51313;Activision Anthology
SLES-52521;Adibou & Les Voleurs d'Energie
SLES-53956;Aeon Flux
SLES-52125;Agassi Tennis Generation
SLES-50282;Age of Empires II - Age of Kings
SLES-53504;Agent Hugo
SLES-50480;Aggressive Inline Skating
SLES-53772;Air Raid 3
SLES-50953;Air Rescue Ranger
SCES-50246;AirBlade
SLES-52939;Airborne Troops - Countdown to D-Day
SLES-51079;Ajax Club Football
SLES-52661;Ajax Club Football 2005
SLES-50919;Akira Psycho Ball
SLES-52063;Alarm for Cobra 11 Autobahn
SLES-53360;Alarm for Cobra 11 Vol.2 - Hot Pursuit
SLES-50429;Alex Ferguson Player Manager 2002
SLES-51821;Alias
SLES-53139;Alien Humanoid
SLES-51792;Aliens vs. Predator - Extinction
SLES-50218;All-Star Baseball 2002
SLES-50447;All-Star Baseball 2003
SLES-51602;All-Stars Baseball 2004
SLES-50185;Alone in the Dark 4
SCES-50887;Alpine Racer 3
SLES-54370;Alpine Ski Racing
SLES-54560;Alpine Ski Racing 2007
SLES-51670;Alter Echo
SLES-53024;Altered Beast
SLES-52366;America's 10 Most Wanted
