SLUS-01272;007 - The World Is Not Enough (USA)
SLUS-01272GH;007 - The World Is Not Enough (USA)
SLUS-00975;007 - Tomorrow Never Dies (USA)
SLUS-00975CE;007 - Tomorrow Never Dies (USA)
SLUS-00975GH;007 - Tomorrow Never Dies (USA)
SLUS-01300;007 Racing (USA)
SLUS-01300CE;007 Racing (USA)
SCUS-94503;1Xtreme (USA)
SLUS-01449;2002 FIFA World Cup (USA) (En,Es)
SCUS-94508;2Xtreme (USA)
SLUS-00066;3D Baseball (USA)
SCUS-94601;3D Lemmings (USA)
SCUS-94231;3Xtreme (USA)
SLUS-00874;40 Winks (USA)
SLUS-00003;A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)
SLUS-01137;ATV - Quad Power Racing (USA)
SLUS-01545;ATV Mania (USA)
SLUS-01572;ATV Racers (USA)
SLUS-00404;Ace Combat 2 (USA)
SLUS-00972;Ace Combat 3 - Electrosphere (USA)
SLUS-01470;Aces of the Air (USA)
SLUS-01248;Action Bass (USA)
SLUS-00887;Action Man - Operation Extreme (USA)
SLUS-00777;Activision Classics (USA)
SLUS-00777GH;Activision Classics (USA)
SCUS-94502;Adidas Power Soccer (USA)
SLUS-00547;Adidas Power Soccer 98 (USA)
SLUS-00378;Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA)
SCUS-94906;Adventures of Lomax, The (USA)
SLUS-00023;Agile Warrior - F-111X (USA)
SLUS-00001;Air Combat (USA)
SLUS-01467;Air Hockey (USA)
SLUS-00715;Akuji the Heartless (USA)
SLUS-00872;Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)
SLUS-00633;Alien Resurrection (USA)
SLUS-00007;Alien Trilogy (USA)
SLUS-01460;All Star Racing (USA)
SLUS-01510;All Star Racing 2 (USA)
SLUS-00392;All-Star Baseball 97 featuring Frank Thomas (USA)
SLUS-01431;All-Star Slammin' D-Ball (USA)
SLUS-00303;Allied General (USA)
SLUS-00239;Alone in the Dark - One-Eyed Jack's Revenge (USA)
SLUS-01201;Alone in the Dark - The New Nightmare (USA)
SLUS-00553;Alundra (USA)
SLUS-01017;Alundra 2 - A New Legend Begins (USA)
SLUS-01475;Amazing Virtual Sea-Monkeys, The (USA) (En,Es)
SLUS-01488;American Pool (USA)
SLUS-00264;Andretti Racing (USA)
SLUS-00784;Animaniacs - Ten Pin Alley (USA)
SLUS-01010;Animorphs - Shattered Reality (USA)
SCUS-94423;Ape Escape (USA)
SLUS-00373;Apocalypse (USA)
SCUS-94603;Aquanaut's Holiday (USA)
SLUS-01255;Arc the Lad Collection - Arc Arena - Monster Tournament (USA)
SLUS-01224B;Arc the Lad Collection - Arc the Lad (USA)
SLUS-01224;Arc the Lad Collection - Arc the Lad (USA)
SLUS-01252B;Arc the Lad Collection - Arc the Lad II (USA)
SLUS-01252;Arc the Lad Collection - Arc the Lad II (USA)
SLUS-01253A;Arc the Lad Collection - Arc the Lad III (USA)
SLUS-01253B;Arc the Lad Collection - Arc the Lad III (USA)
SLUS-01253;Arc the Lad Collection - Arc the Lad III (USA)
SLUS-01256;Arc the Lad Collection - The Making of Arc the Lad (USA)
SLUS-00952;Arcade Party Pak (USA)
SLUS-00399;Arcade's Greatest Hits - The Atari Collection 1 (USA)
SLUS-00449;Arcade's Greatest Hits - The Atari Collection 2 (USA)
SLUS-00450;Arcade's Greatest Hits - The Midway Collection 2 (USA)
SLUS-00164;Area 51 (USA)
SCUS-94182;Armored Core (USA)
SLUS-01323;Armored Core (USA) (Reprint)
SLUS-01030;Armored Core - Master of Arena (USA)
SLUS-00670;Armored Core - Project Phantasma (USA)
SLUS-01022;Armorines - Project S.W.A.R.M. (USA)
SLUS-00913;Army Men - Air Attack (USA)
SLUS-00913CE;Army Men - Air Attack (USA)
SLUS-00913GH;Army Men - Air Attack (USA)
SLUS-01132;Army Men - Air Attack 2 (USA)
SLUS-01330;Army Men - Green Rogue (USA)
SLUS-00914;Army Men - Sarge's Heroes (USA)
