T-15906H;3D Baseball
T-12705H;Albert Odyssey Legend of Eldean
T-8113H;Alien Trilogy
T-8150H;All-Star Baseball 97 Featuring Frank Thomas
T-29401H;Alone in the Dark One Eyed Jacks Revenge
81064;AMOK
T-5020H;Andretti Racing
T-9703H;Arcades Greatest Hits
T-9706H;Arcades Greatest Hits The Atari Collection 1
T-9705H;Area 51
81019;Astal
81501;Baku Baku
T-5703H;Bases Loaded 96 Double Header
T-8140H;Batman Forever The Arcade Game
81029;Battle Arena Toshinden Remix
81054;Battle Arena Toshinden URA Ultimate Revenge Attack
T-8137H;Battle Monsters
T-5021H;Battle Stations
T-8149H;BattleSport
T-7027H;Black Dawn
81003;BlackFire
T-13003H;Blast Chamber
T-15907H;Blazing Dragons
81303;Blazing Heroes
81031;Bootleg Sampler
T-9505H;Bottom of the 9th
T-12103H;BrainDead 13
T-8145H;Break Point Tennis
T-8131H;Bubble Bobble also featuring Rainbow Islands
81040;Bug Too!
81004;Bug!
81803;Burning Rangers
T-8132H;Bust-A-Move 2 Arcade Edition
T-31103H;Bust-A-Move 3
T-12512H;Casper
T-6005H;Center Ring Boxing
81067;Christmas NiGHTS into Dreams...
T-25901H;Cleaning Kit for Sega Saturn
81007;Clockwork Knight
81036;Clockwork Knight 2
T-8111H;College Slam
T-7028H;Command & Conquer
81010;CONGO The Movie The Lost City of Zinj
T-9507H;Contra Legacy of War
T-16201H;Corpse Killer Graveyard Edition
T-25415H;Courier Crisis
T-1304H;Creature Shock Special Edition
T-8807H;Crimewave
T-2302H;Criticom
T-16105H;Croc Legend of the Gobbos
T-8124H;Crow, The City of Angels
T-5014H;Crusader No Remorse
T-9509H;Crypt Killer
81205;Cyber Speedway
T-12508H;Cyberia
T-8106H;D
T-8123H;Darius Gaiden
T-1305H;Dark Legend
81304;Dark Savior
T-5022H;Darklight Conflict
81200;Daytona USA
81218;Daytona USA C.C.E. Net Link Edition
81213;Daytona USA Championship Circuit Edition
81115;DecAthlete
T-1301H;Defcon 5 Peace Has a Price...
81057;Die Hard Arcade
T-16103H;Die Hard Trilogy
T-25405H;Doom
T-16207H;Double Switch
T-12703H;Dragon Force
T-8117H;DragonHeart Fire & Steel
81071;Duke Nukem 3D
T-13203H;Earthworm Jim 2
81076;Enemy Zero
MK-81206;F1 Challenge
T-5025H;FIFA Road to World Cup 98
T-5003H;FIFA Soccer 96
T-5017H;FIFA Soccer 97
81073;Fighters Megamix
81041;Fighting Vipers
T-8138H;Frank Thomas Big Hurt Baseball
T-8116H;Galactic Attack
T-1504H;Galaxy Fight
T-15904H;Gex
81001;Ghen War
81045;Golden Axe The Duel
T-7004H;Grand Slam
T-7025H;Grid Runner
81035;Guardian Heroes
81046;Gungriffon
81202;Hang-On GP
T-7605H;Heir of Zendor The Legend and The Land
T-23001H;Hercs Adventures
T-25406H;Hexen
T-5002H;Hi-Octane The Track Fights Back!
T-14402H;High Velocity Mountain Racing Challenge
T-31101H;Highway 2000
T-15909H;Horde, The
81802;House of the Dead, The
T-7015H;Hyper 3-D Pinball
T-8139H;Impact Racing
T-10001H;In The Hunt
T-7905H;Incredible Hulk, The The Pantheon Saga
T-16104H;Independence Day
T-8119H;Iron Man & X-O Manowar in Heavy Metal
T-12701H;Iron Storm
T-7909H;Johnny Bazookatone
81078;Last Bronx
T-4804H;Last Gladiators Digital Pinball
81302;Legend of Oasis, The
T-12519H;Loaded
81065;Lost World, The Jurassic Park
T-14403H;Lunacy
T-7914H;Machine Head
T-5010H;Madden NFL 97
T-5024H;Madden NFL 98
T-5006H;Magic Carpet
T-12706H;Magic Knight Rayearth
81012;Mansion of Hidden Souls, The
81210;ManX TT Super Bike
81210;Manx TT SuperBike
T-1214H;Marvel Super Heroes
T-18007H;Mass Destruction
T-9707H;Maximum Force
T-13004H;MechWarrior 2
T-1216H;Mega Man 8 Anniversary Collectors Edition
T-1219H;Mega Man X4
T-9703H;Midway Presents Arcades Greatest Hits
