SNS-A3NE-USA;3 Ninjas Kick Back
SNS-EL-USA;7th Saga, The
SNS-ANNE-USA;Aaahh!!! Real Monsters
SNS-N5-USA;ABC Monday Night Football
SNS-ACME-USA;ACME Animation Factory
SNS-AR-USA;ActRaiser
SNS-A8-USA;ActRaiser 2
SNS-VY-USA;Addams Family Values
SNS-AF-USA;Addams Family, The
SNS-AH-USA;Addams Family, The - Pugsley's Scavenger Hunt
SNS-IB-USA;Advanced Dungeons & Dragons - Eye of the Beholder
SNS-ABTE-USA;Adventures of Batman & Robin, The
SNS-6F-USA;Adventures of Dr. Franken, The
SNS-YK-USA;Adventures of Kid Kleets, The
SNS-AMOE-USA;Adventures of Mighty Max, The
SNS-RZ-USA;Adventures of Rocky and Bullwinkle and Friends, The
SNS-Y8-USA;Adventures of Yogi Bear
SNS-AERE-USA;Aero Fighters
SNS-XB-USA;Aero the Acro-Bat
SNS-AE2E-USA;Aero the Acro-Bat 2
SNS-AL-USA;Aerobiz
SNS-AG-USA;Aerobiz Supersonic
SNS-ACCE-USA;Air Cavalry
SNS-4A-USA;Air Strike Patrol
SNS-AUJE-USA;Al Unser Jr.'s Road to the Top
SNS-RJ-USA;Aladdin
SNS-A3-USA;Alien 3
SNS-AP-USA;Alien vs. Predator
SNS-AA-USA;American Gladiators
SNS-9W-USA;American Tail, An - Fievel Goes West
SNS-7A-USA;Andre Agassi Tennis
SNS-ANCE-USA;Animaniacs
SNS-AW7E-USA;Arcade's Greatest Hits - The Atari Collection 1
SNS-RF-USA;Arcana
SNS-A9-USA;Ardy Light Foot
SNS-A6-USA;Arkanoid - Doh It Again!
SNS-RW-USA;Art of Fighting
SNS-AX-USA;Axelay
SNS-ABZE-USA;Ballz 3D
SNS-8L-USA;Barbie Super Model
SNS-U5-USA;Barkley Shut Up and Jam!
SNS-ABAE-USA;Bass Masters Classic
SNS-A9BE-USA;Bass Masters Classic - Pro Edition
SNS-AB2E-USA;Bassin's Black Bass
SNS-A3BE-USA;Batman Forever
SNS-BJ-USA;Batman Returns
SNS-BZ-USA;Battle Blaze
SNS-4B-USA;Battle Cars
SNS-BT-USA;Battle Clash
SNS-BG-USA;Battle Grand Prix
SNS-UL-USA;Battletoads & Double Dragon
SNS-NX-USA;Battletoads in Battlemaniacs
SNS-BY-USA;Bazooka Blitzkrieg
SNS-EW-USA;Beauty and the Beast
SNS-ABUE-USA;Beavis and Butt-Head
SNS-6B-USA;Bebe's Kids
SNS-2V-USA;Beethoven - The Ultimate Canine Caper!
SNS-BE-USA;Best of the Best - Championship Karate
SNS-AB9E-USA;Big Sky Trooper
SNS-ABME-USA;Biker Mice from Mars
SNS-CB-USA;Bill Laimbeer's Combat Basketball
